,LOTAÇÃO EXERCÍCIO,REM_LIQUIDA,CATEGORIA
227,Escritório de Apoio do Senador Rodrigo Pacheco,2553.75,CARGO EM COMISSÃO
228,Escritório de Apoio 1 do Senador Rogério Carvalho,2437.95,CARGO EM COMISSÃO
229,Escritório de Apoio 1 do Senador Alessandro Vieira,2582.19,CARGO EM COMISSÃO
230,Escritório de Apoio 1 do Senador Alessandro Vieira,2553.75,CARGO EM COMISSÃO
232,Escritório de Apoio 1 do Senador Confúcio Moura,1789.43,CARGO EM COMISSÃO
234,Escritório de Apoio 1 do Senador Antônio Anastasia,2553.75,CARGO EM COMISSÃO
240,Escritório de Apoio 1 da Senadora Zenaide Maia,2553.75,CARGO EM COMISSÃO
241,Escritório de Apoio 1 do Senador Jorginho Mello,2553.75,CARGO EM COMISSÃO
242,Escritório de Apoio 1 do Senador Esperidião Amin,2553.75,CARGO EM COMISSÃO
244,Gabinete da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
246,Escritório de Apoio 1 do Senador Confúcio Moura,2553.75,CARGO EM COMISSÃO
250,Gabinete do Senador Lucas Barreto,2553.75,CARGO EM COMISSÃO
251,Gabinete da Senadora Rose de Freitas,2553.75,CARGO EM COMISSÃO
252,Escritório de Apoio 1 do Senador Plínio Valério,2553.75,CARGO EM COMISSÃO
254,Gabinete do Senador Zequinha Marinho,2553.75,CARGO EM COMISSÃO
255,Gabinete do Senador Eduardo Gomes,2553.75,CARGO EM COMISSÃO
257,Escritório de Apoio 1 do Senador Plínio Valério,2553.75,CARGO EM COMISSÃO
258,Gabinete do Senador Plínio Valério,2567.97,CARGO EM COMISSÃO
259,Gabinete da Senadora Rose de Freitas,2553.75,CARGO EM COMISSÃO
260,Gabinete da Senadora Mailza Gomes,2553.75,CARGO EM COMISSÃO
261,Escritório de Apoio 1 do Senador Jean Paul Prates,2521.24,CARGO EM COMISSÃO
262,Escritório de Apoio 1 do Senador Jean Paul Prates,-176.81,CARGO EM COMISSÃO
263,Gabinete do Senador Weverton Rocha,2501.77,CARGO EM COMISSÃO
264,Gabinete do Senador Weverton Rocha,2487.54,CARGO EM COMISSÃO
265,Escritório de Apoio 1 do Senador Jorginho Mello,2553.75,CARGO EM COMISSÃO
267,Escritório de Apoio 1 do Senador Plínio Valério,2553.75,CARGO EM COMISSÃO
268,Escritório de Apoio do Senador Acir Gurgacz,2553.75,CARGO EM COMISSÃO
270,Gabinete do Senador Luiz Carlos do Carmo,2553.75,CARGO EM COMISSÃO
272,Escritório de Apoio 1 do Senador Carlos Fávaro,2553.75,CARGO EM COMISSÃO
273,Escritório de Apoio nº 1 do Senador Lasier Martins,2553.75,CARGO EM COMISSÃO
275,Escritório de Apoio 1 do Senador Marcos do Val,2724.97,CARGO EM COMISSÃO
276,Gabinete do Senador Izalci Lucas,2553.75,CARGO EM COMISSÃO
277,Escritório Apoio 1 do Senador Randolfe Rodrigues,2567.97,CARGO EM COMISSÃO
278,Escritório de Apoio 1 do Senador Romário,2553.75,CARGO EM COMISSÃO
281,Escritório de Apoio do Senador Paulo Paim,2553.75,CARGO EM COMISSÃO
282,Gabinete do Senador Nelsinho Trad,2553.75,CARGO EM COMISSÃO
283,Escritório de Apoio 1 do Senador Elmano Férrer,2553.75,CARGO EM COMISSÃO
284,Escritório de Apoio 1 do Senador Alessandro Vieira,2553.75,CARGO EM COMISSÃO
285,Escritório de Apoio Senadora Maria do Carmo Alves,2553.75,CARGO EM COMISSÃO
286,Escritório de Apoio 1 do Senador Alessandro Vieira,2553.75,CARGO EM COMISSÃO
287,Gabinete do Senador Marcos Rogério,3265.62,CARGO EM COMISSÃO
288,Escritório de Apoio do Senador Acir Gurgacz,2582.19,CARGO EM COMISSÃO
289,Escritório de Apoio 1 do Senador Carlos Viana,2553.75,CARGO EM COMISSÃO
290,Gabinete do Senador Roberto Rocha,2553.75,CARGO EM COMISSÃO
291,Escritório de Apoio da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
292,Escritório de Apoio nº 1 do Senador Eduardo Gomes,2553.75,CARGO EM COMISSÃO
293,Escritório de Apoio 1 do Senador Alessandro Vieira,2553.75,CARGO EM COMISSÃO
294,Escritório de Apoio da Senadora Kátia Abreu,2553.75,CARGO EM COMISSÃO
296,Escritório de Apoio 1 do Senador Cid Gomes,2553.75,CARGO EM COMISSÃO
